"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Argentina","Electricity- total nuclear production","2007","Kilowatt-hours, million","7217",""
"Argentina","Electricity- total nuclear production","2006","Kilowatt-hours, million","7691",""
"Argentina","Electricity- total nuclear production","2005","Kilowatt-hours, million","6873",""
"Argentina","Electricity- total nuclear production","2004","Kilowatt-hours, million","7869",""
"Argentina","Electricity- total nuclear production","2003","Kilowatt-hours, million","7566",""
"Argentina","Electricity- total nuclear production","2002","Kilowatt-hours, million","5821",""
"Argentina","Electricity- total nuclear production","2001","Kilowatt-hours, million","7059",""
"Argentina","Electricity- total nuclear production","2000","Kilowatt-hours, million","6177",""
"Argentina","Electricity- total nuclear production","1999","Kilowatt-hours, million","7106",""
"Argentina","Electricity- total nuclear production","1998","Kilowatt-hours, million","7453",""
"Argentina","Electricity- total nuclear production","1997","Kilowatt-hours, million","7961",""
"Argentina","Electricity- total nuclear production","1996","Kilowatt-hours, million","7459",""
"Argentina","Electricity- total nuclear production","1995","Kilowatt-hours, million","7066",""
"Argentina","Electricity- total nuclear production","1994","Kilowatt-hours, million","8235",""
"Argentina","Electricity- total nuclear production","1993","Kilowatt-hours, million","7750",""
"Argentina","Electricity- total nuclear production","1992","Kilowatt-hours, million","7081",""
"Argentina","Electricity- total nuclear production","1991","Kilowatt-hours, million","7771",""
"Argentina","Electricity- total nuclear production","1990","Kilowatt-hours, million","7281",""
"Argentina","Electricity - nuclear production, public","2007","Kilowatt-hours, million","7217",""
"Argentina","Electricity - nuclear production, public","2006","Kilowatt-hours, million","7691",""
"Argentina","Electricity - nuclear production, public","2005","Kilowatt-hours, million","6873",""
"Argentina","Electricity - nuclear production, public","2004","Kilowatt-hours, million","7869",""
"Argentina","Electricity - nuclear production, public","2003","Kilowatt-hours, million","7566",""
"Argentina","Electricity - nuclear production, public","2002","Kilowatt-hours, million","5821",""
"Argentina","Electricity - nuclear production, public","2001","Kilowatt-hours, million","7059",""
"Argentina","Electricity - nuclear production, public","2000","Kilowatt-hours, million","6177",""
"Argentina","Electricity - nuclear production, public","1999","Kilowatt-hours, million","7106",""
